"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76"
"11",120.35,81.45,46.85,50.7,71.7,81.3,71.9,64.2,66.55,90.75,119.85,141.05,156.2,283.75,947.05,2768.75,4806.2,4765.4,2781.25,1077.85,356.35,160.1,128.05,123.45,117.4,108.35,102.4,101.9,106.15,109.7,110.2,113.6,115.15,120,119.2,142.4,208.2,281.55,304.6,247.05,182.9,147.35,141.95,137.2,130.95,126.7,127.45,122.55,122.6,125.2,135.15,147.65,224.4,360.7,467.85,442.55,315.85,203.35,154,167.4,255.2,490.35,938.7,1287.3,1230.5,776.7,374.35,177.7,143,167,233.25,260.45,231.15,171.2,123,111.2
"12",118.9,80.55,45.65,46.55,70.7,83.7,73.4,65.7,70.3,92.05,120.55,139.5,152.35,283.2,942.65,2747.05,4827.6,4789.7,2798.6,1061.2,353.55,162.15,130.25,117.75,114,107.25,104.2,99.05,104.8,110,110.85,112.7,109,116.5,124.45,147.55,200.3,287.25,308.85,248.1,179.3,145.65,142.4,134.45,131.4,122.8,124.45,121.25,126.8,127.25,133.2,150.45,227.3,357.7,469,449.4,321.85,198.3,150.1,169.4,240.45,499,945.55,1312.45,1224.55,782.15,362.25,178.25,137.15,167.25,232.6,260.3,233.3,173.3,123.3,105
"13",124.1,84.95,48.8,53.45,74.75,89.25,75.6,65.65,68,83.9,112.4,133.25,158.3,279.65,935.45,2731.3,4773.3,4744.15,2761.9,1065.15,361,166.45,136.1,129.35,124.2,106.4,102.75,104.85,106.05,105.6,113.1,110.7,116.15,116.05,121.65,148.25,214.5,298.95,337.3,266.15,182.25,150.3,139.15,139.5,137.3,125.35,126.95,125.45,125.35,126.95,135.9,159.55,248.6,438.5,581.05,559,375.85,218.35,164.3,172.9,270.95,522.1,963.15,1325.9,1263.95,785,373.5,174.8,140,170.3,231.15,264.6,233.9,171.6,127,109.6
"14",117.55,83.05,51.45,52.15,71.05,86.7,77.95,60.2,71.4,83.25,112.7,133.75,158.1,274.65,926.8,2708.65,4702.55,4663.9,2710.55,1042.45,348.6,171.1,134.8,132.85,126.3,110.25,102.45,106.5,108.5,110.6,110.9,115.6,116.9,115.7,119.25,144.55,210.45,300.05,320.05,256.5,180.05,147.6,141.15,137.5,130.85,131.85,127.8,126.65,125.65,128.9,131.35,161.45,253.8,431.45,577.45,538.1,376.35,214.95,160.2,175.95,281.3,559.45,1062.8,1463.45,1387.6,868.9,409.65,188.65,144.25,178.85,245.45,287.95,251,184.35,127.9,106
"15",139.25,92.5,50.45,45.45,61.25,70.75,67.55,61.9,69.55,101.8,141.55,156.75,166.65,260,853.7,2504.2,4344.5,4334.15,2537.5,973.75,334.8,158.05,138.45,136,123.95,108.2,105.25,101.85,105.85,106.85,110.45,110.05,115.15,116.9,118.4,147.65,218.85,306.1,349.45,278.05,190.1,153.9,141.6,146.7,132.9,121.95,122.55,128.3,122.85,130,135.8,176.6,306.75,548,764.85,717.85,459.25,253.75,159.7,176,252.55,452.75,760.7,1027.2,939.8,602.1,304,158.25,132.3,149.45,195.55,223,197.7,153.9,118.5,110.6
"16",126.05,82.2,48.9,48.9,72.1,89.55,72.25,60.7,63.95,82,109,131,147.85,268.9,918.7,2664.35,4663.7,4667.7,2729.45,1041.55,356.3,167.15,137.65,131.7,118.15,102.35,102.95,103,100.35,109.3,111.95,108.1,112.25,112.9,118.2,143.1,208.9,293.6,328.45,257.35,179.45,151.8,141.95,135.8,131.9,122.5,119.9,120.1,125.2,123.9,133.05,156.95,250,423,583.7,547.85,370.3,213,158.5,173.6,259.25,520.55,961.65,1315.45,1255.15,796.35,367.85,180.4,140.15,171.4,238.2,260.1,241.45,177.4,127.15,101.4
"17",114.1,78.8,47.8,49.35,74,81.8,73.2,61.4,65.6,86.25,109,125.1,144.1,272.6,911.7,2627.05,4580.8,4555.9,2641.85,1020.45,349.85,162.05,132,133.95,117.7,104.7,101.15,99.7,101.95,106.4,113.6,110.95,111.1,110.5,118.65,140.05,190.5,261.35,292.65,239,175.85,145.2,137.75,141.45,132.1,124.05,125.1,123.45,121.95,124.7,130.15,161.1,252.2,422.8,561.75,537.05,367.3,215.6,158.15,178.55,276.8,551.7,1059.85,1453.1,1375.8,856.9,406.3,186.8,146.7,177.9,235.45,290.2,250.1,179,123.5,109.4
"18",116.61,79.917,51,48.4165,74.75,86.75,71.11125,62.19425,65.3335,81.47225,107.084,123.8875,144.4725,262.525,894.495,2621.4,4581.725,4554.05,2656.05,1011.44,341.75,160.805,127.8075,125.225,117.695,102.471,99.63825,99.13825,102.166,103.4165,109.835,109.2775,111.1125,113,116.1125,142.695,213.0575,299.5825,327.7225,264.695,181.6675,148.64,140.7775,137.6125,131.2225,121.8325,120.7225,122.25,125.9975,123.8625,132.4175,155.14,252.11,429.055,566.3075,540.055,362.64,213.555,157.61,169.22,263.4175,513.665,964.8825,1347.125,1256.925,789.7775,375.6375,177.5275,140.3075,171.2525,229.415,261.695,238.975,172.11,121.36,107.78
"19",61.05,46.55,38.55,47.4,65.15,76.5,70.65,64.1,72.35,90.6,116.45,143.75,174.55,298.55,937.15,2669.1,4578.05,4551.25,2665.2,1034.7,337.35,152.15,97,95.1,97.8,97.9,93.95,98.85,102.75,109.45,118.85,115.65,115.45,118.75,116.95,126.55,153.6,187.7,200.35,183.85,147.25,134.6,135,142.2,133.7,136.1,133.5,138.05,142.5,150.8,182.4,318,799.4,1691.85,2459.6,2276.6,1387.5,585.65,274.45,273.65,397.35,548.55,674.5,726.3,622.1,401.25,214.3,130.55,116.25,126.55,149.25,168.85,157.95,125.9,105.7,105.4
"20",62.2,49.65,40.1,44.7,65.75,76.55,68.4,61.75,70.15,91.5,127.75,150,176.25,283.6,836.85,2361.2,4043.35,4028.35,2352.8,922.45,324.85,149.2,116.25,109.95,110.65,110,113.8,117.85,141.35,179.65,248.6,296.4,309.05,269.15,231.6,182.9,170.5,194.75,198.35,181.8,156.95,139.35,143.3,145.3,152.85,146.15,147.75,153.9,156.4,166.2,193.45,353.7,858.6,1817,2644.8,2444.7,1488,638.45,298.45,291.85,440.45,628.1,796.6,876.25,754.15,483.4,253.9,147.65,130.3,145.7,174.95,193.6,176.75,143.05,119.5,103.6
"21",50.75,40.9,35.6,37.65,50.55,62.1,61,56.65,67.45,91.5,120.7,148.05,176.15,292.3,913.8,2568,4429.2,4416,2591.2,994.55,326.4,149.5,109.85,102.95,100.55,95.45,95.45,99.35,104.15,117.95,128.65,135.2,133.6,130.5,125,127.7,153.8,194.7,206.85,179.15,150.35,131.65,136.55,136.05,140.8,137.6,133.6,142.45,143.05,148.85,179.75,335,859.7,1835.75,2637.15,2467.75,1474.8,622.4,290.05,284.25,412.25,554.35,639.3,652.55,539.3,349.3,193,125.9,114.4,120.55,142.4,155.45,143.3,121.4,102.05,94.8
"22",68.45,50.4,39.9,43.35,64.1,72.25,70.35,63.95,73.95,90.85,117.45,136.3,166.75,280.55,882.35,2483.45,4338.4,4312.7,2522.35,991.7,339.15,152.05,115,108.6,110.25,109.5,115.35,119.1,142.7,196.2,290.55,360.15,380,336,275.65,209.9,199.4,216.8,231.55,206.4,165.4,146.5,141.05,144.6,144.85,140.6,136.5,144.1,152.45,155.15,175.9,283.6,635.6,1318.45,1877.55,1758.1,1088.05,483.85,246.5,247.75,358.55,529.3,712.25,835.5,730.2,470.1,251.5,151.15,128.1,140,171.05,196.05,171,140.5,116.45,111.2
"23",54.25,46.3,35.1,45.3,61.45,67.25,63.4,67.05,70.85,89.6,112.35,141.75,165.9,281.9,908.3,2556.1,4411.9,4378.9,2557.65,997.15,345.7,153.95,111.2,108.65,107.95,111.9,114.35,119,137.05,192.3,288.75,362.9,375.3,348.2,274.55,208.1,181.35,196.2,205.95,182.25,155.85,144.95,140.65,136.35,139.95,137.35,139.65,147.05,151.6,154.05,175.9,284.15,652.8,1372.95,1971.5,1842.2,1108.7,496.35,250.65,250.45,374.6,510.9,700.25,810.2,703.1,459.25,244.25,146.65,127.7,141.1,173.7,179.95,173.65,142.4,121.4,112
"24",45.3,37.25,34.65,41.85,47.5,62.15,60.35,57.75,68.75,95.45,120.85,151.8,177.75,296.4,904.3,2588.6,4456.85,4481.35,2606.45,991.25,332.7,150.25,111.9,104.55,105.9,106,102.75,103.1,118.9,130.3,162.2,184.8,191.55,173.3,161.1,151.85,158.05,198.65,201.2,184.6,154.6,142.45,148.2,143.05,139.8,133.4,142.25,141.1,143.35,153.8,195.2,362.95,897.55,1931.9,2825.7,2605,1565.45,656.2,302.55,298.25,423.85,568.55,654.6,642.45,529.6,338.8,196.35,124.45,114.75,122.85,139.85,154,148.75,123.15,107.95,105
"25",67.2,50.5,40.7,44.1,62.95,72.65,70.5,60.1,64.65,87.95,117.05,146.1,166.2,270.75,847.2,2412.5,4137.1,4153.4,2391.8,922.25,305.25,136.55,102.65,101.5,96.3,93.3,91.9,98.7,104.65,114.1,120,122.9,120.1,124.7,116.5,128.5,162.45,210.35,222.6,193.35,156.1,137.35,138.55,143.65,140.75,131.85,133.35,134.05,138.4,143.65,181.3,306.8,780.15,1674.35,2390.7,2233.35,1348.45,581.45,266.7,272.95,402.75,535.25,674.6,713.7,605.6,392.75,205.1,136.05,121.65,130.6,149.15,167.1,150.6,130,106.75,95.6
"26",61.9,50.8,41.8,51.95,72.8,89.55,74.45,74.65,76.05,99.4,131.1,160.7,188.95,323.2,1005.85,2934.95,5090.55,4981.95,2881.5,1075.75,365.45,163.6,115.85,113.4,109.65,109.2,112.4,114.8,129.85,146.15,179.7,196.8,199.75,187.65,172.05,164.15,177,214,224.95,194.6,162.45,153.05,153.45,146.7,145.5,147.35,147.6,151.05,155.6,169.85,194.6,350.65,884,1878.15,2669.85,2424.8,1421.45,603.9,287.65,298.7,446.6,628.65,791,875.8,745.6,462.1,235.1,143.1,125.4,140.35,177.55,194.35,176.5,138.45,112.5,101.8
"27",74.85,56.55,46.2,52.6,76,91.6,80.5,72.95,78.45,99.95,134.75,161.85,189.75,307.4,976.9,2788.75,4853.45,4768.75,2708.35,1027.25,348.6,161.35,118.85,107.55,110.55,108.2,115.4,116.3,126.5,158.55,203.35,223.65,233.15,208.15,186.05,172.7,178.95,217.7,228.75,196.9,161.55,152.55,144.6,149.05,149.8,146.1,144.25,148.75,153,163.5,198.4,329.05,811.85,1714.45,2466.1,2219.75,1300.8,557.4,270,292.9,424.35,621.7,818.05,911.4,782.3,498.65,244.2,143.7,129.75,146.05,179.95,200.45,173,140.1,116.65,101.2
"28",69.25,50.58325,42.5,55.66675,76.1665,89.20825,81.8335,71.45825,77.5835,101.959,130.7075,158.7475,188.0025,316.0825,967.1575,2744.125,4775.6,4616.725,2672.7,1031.14,355.585,164.7075,121.2925,120.04,118.1275,116.96,120,128.125,144.7925,180.29,242.5,291,290.0425,269.21,227.875,192.5825,192.415,225.96,237.83,208.875,173.75,159.0825,153.5,156.29,158.415,154.1675,154.875,156.4575,161.795,173.4575,210.165,379.29,953.015,2023.525,2886.925,2607.175,1512.375,641.625,298.2925,317.2075,472.415,652.96,799.375,846,707.2075,432.5825,232.2925,143.2925,129.2925,145.5,176.045,185.0825,169.625,142,113.0425,112
"29",65.65,53.8,42.65,48.85,71.6,82.4,74.7,69.95,82.15,100.2,134.25,158,193.7,319.65,1010.9,2930.65,5134.8,5003.15,2875.45,1073.65,345.95,157.85,115.15,102.9,104.15,106.85,107.85,106.7,114.3,123.05,132.8,133.45,128.2,123.8,130.55,140.6,165.25,206.15,217.5,181.7,157.2,149.4,143.7,147.6,145.8,144.6,144.5,146.3,146.6,157.05,191.5,341.35,885.05,1840.6,2641.05,2382,1384.85,584,281.7,292.35,434.4,597.25,727.75,769.95,651.6,406.2,214.85,132.05,117.6,133.8,159.45,180.55,164.6,137,112.65,104.8
"30",71.1,56.55,43.75,54.6,78.2,84.7,78.85,74.75,80.55,108.15,142.3,161.1,202.3,315,958.55,2716.3,4685.05,4575.6,2632.65,1030.9,357.65,174.95,135.05,134.35,129.5,139.15,141.35,147.65,180.3,250.9,380.9,497.6,492.35,444.1,355.75,263.9,223.85,244,250.75,228.1,184.95,167.65,166.8,165.4,161.75,161.95,162.7,164.1,172.6,176.85,210.4,359,847,1790.8,2577.4,2278.8,1359.3,583.25,293.55,311.9,474.7,674.1,910,1025,882.05,541.6,273.75,165,148.8,174.45,196.55,220.75,199.05,157.4,129.45,128.4
"31",73.15,55.15,42.9,52.6,70.7,85.5,75.3,70.1,80.95,105.9,138,160.2,192.75,317.9,994.2,2875.1,4949.6,4845.45,2778.25,1064.15,363.1,169.95,125.55,121.15,117.45,114.6,120.65,126,136.95,170.75,243.3,287.85,291.8,262.35,231.85,193.15,190.75,238.7,250.4,216.8,174,152.95,149.3,154.4,154.25,153.75,161.35,159.8,163.85,164.85,198.75,353.65,860.05,1808.6,2569.55,2324.25,1385.3,594.65,291.65,306.9,437.85,627.3,826.85,928.45,786.3,486.05,255.4,151.75,132.15,152.4,183.95,202.3,187.85,150.25,117.15,104
"32",64.4,51.8,42.7,52.5,78.5,86.9,78.7,72.95,80.5,105.7,133.4,165.15,191.25,326.75,1022.4,2956.6,5144.35,5018.55,2882.3,1094.35,362.7,159,121.2,112.8,112.45,113.85,114.8,115.55,126.55,148.2,177.6,200.8,203.6,187.7,170.6,164,178.8,218.95,231.45,195.1,165.3,152.75,147.9,153.45,151.15,152.75,151.35,152.95,157.3,162.65,200.7,357.5,886.8,1887.6,2688.85,2455.85,1427.6,591.35,289.85,305.65,446.75,636.65,796.95,882.55,755.4,466.2,248.85,141.45,126.55,141,177.5,194.7,174.85,141.45,112,101.4
"33",77.1,56.25,43.85,51.5,76.95,90.4,80.3,72.8,75.15,99.7,130.45,154.75,180.2,306.2,975.95,2804.9,4870.55,4774.4,2738.85,1039.15,363.65,166.8,127,118.4,115.2,123.4,124.45,130.2,144.65,195.9,287.65,363.15,367.65,325.25,273.05,216.65,207.35,228.95,250.75,212.1,168.05,155.5,150.2,148.05,145.85,147.6,149.7,152.6,154.15,165.35,185.65,298.45,670.1,1379.8,1965,1781.7,1060.7,461.65,242.05,257.05,375.75,536.95,728.45,836.9,724.55,461,234.8,143.7,130.95,148.15,176.85,201.7,182.1,146.95,120.8,111
"34",117.4,80.5,47.2,51.4,73.4,84.15,73.4,67.7,68.8,97.95,124.3,144.55,152.65,256.85,847.9,2510.7,4370.2,4312.45,2465.9,931,314.6,149,115.9,111.2,101.7,97.6,94.45,96.45,103.3,113.4,119.6,120.3,114.15,110.3,117.1,137.5,190.25,265,273.7,230.2,169.7,142.3,142.2,137.1,127.3,126.15,122.25,127.45,125.95,129.7,137.05,185,339.45,635.2,865.7,775.8,504.65,260.65,177.2,192.9,297.55,567.7,1016.35,1371.5,1259.2,764.45,344.85,174.75,137.95,177.6,234.7,268.95,232.4,171.15,121.15,113
"35",130,87.7,50.15,57.45,89.1,106.2,84.6,65.4,67.1,92.25,121.9,139,149.15,252.4,796.65,2361.95,4188.7,4079,2353.5,872.9,305.95,151.85,118.05,111.2,97.45,102.05,93.8,102.6,108.7,113.4,116.2,121.2,115.75,113.65,117.75,143.05,193.6,263.6,283.05,232.95,165.3,139.05,131.8,137.05,130.35,122.65,124.55,125.35,121.05,128.25,139.55,184.7,346.15,633.35,876.3,783.95,503.15,259.7,173.6,197.9,313.5,625.25,1106.5,1501.55,1379.5,844.65,368.95,176.45,145.15,180.2,247.95,284.75,257.2,175.7,123.1,104.8
"36",125.75,84.9,50.25,57.4,86.55,96.95,79.65,65.75,67,91.35,121.25,133.1,149.85,245.7,818.85,2382.75,4115.35,4070.5,2351.65,874.85,305,151.75,114,109.2,99.2,102.05,98.95,99.4,104.8,112.6,119.4,115.15,117.9,112.45,119.85,135.45,191.85,267.2,288.6,236.35,166.55,137.2,140.25,135.4,133.95,127.45,125.6,126.25,128.2,130.2,140.15,193.4,347.6,634.95,862.45,803.25,506.25,257.75,175.15,198,310,601.8,1107.9,1511.85,1368.05,847.8,370.75,180.25,142.7,185,252.55,283.75,244.8,176.6,122.7,106.8
"37",107.8,71.9,48.8,56.7,90.85,104.1,86.1,65.45,71.95,98.65,132.6,150.25,164.2,261.8,840.25,2452.25,4261.35,4195.55,2380.95,910.45,302.8,151.95,120.5,114.15,106.75,106.4,103.5,103.4,111.1,115.05,120.25,120.55,117.05,117.6,121.85,135.85,178.65,222.9,237.15,204.35,159.1,141.35,144.8,134.1,135.5,139.95,134.7,132.1,139.5,145,163.75,246.85,533.7,1082,1531.8,1391,832.1,380.35,221.15,238.15,376.2,650.7,1087.15,1420.3,1254.3,758.35,349.85,173.3,140.35,175.6,233.55,272.8,235.1,172.5,119.75,105.2
"38",121.4,84.3,51.35,56,89.9,107.45,85.25,64.5,66.95,92.15,123,145.8,150.25,256.2,840.75,2499.9,4353.05,4275.55,2440.7,919.8,313.45,143.85,110.2,98.7,97.05,95.25,95,100.4,101.05,108.6,114.25,112,116.7,115.85,118.3,131.9,187.75,250.1,267.9,225.35,159.75,143.15,137.6,138.05,130.8,120.2,123.1,130.3,128.3,129.4,148.25,201.25,384.45,725.35,1010.5,923.95,567.4,285.6,176.65,194,299.1,540.85,930.75,1229.75,1093.2,684.75,314.35,164.95,134.3,162.5,215.55,247.95,210.75,161.8,119.3,110
"39",122.65,84.1,48.45,47.65,70.95,82.05,73.45,59.55,69.25,92.75,120.65,142.85,154.25,250.65,831.75,2468.2,4283.95,4196.05,2406.5,904.1,304.85,149.05,111.6,105.6,98.35,95.8,97.9,97.55,110.1,113.4,122.45,117.8,115.55,113.25,112.7,136.8,188.95,259.6,272,214.1,162.4,135.45,137.65,136.7,123.45,123.4,123.3,122.25,123.5,129.35,141.45,187.95,352.55,681.4,941.3,863.6,531.1,276.05,173.8,189.1,302.6,570.75,992.55,1329.85,1193.35,741.45,344.95,170.25,137.6,172.95,235.85,255.3,223.5,162.75,119.75,97
"40",124.1,80.8,48.4,53.5,85.95,94.5,82.5,64.7,62.95,85.7,118.8,135.15,147.2,251.2,847.1,2512.4,4384.15,4293.8,2457.2,924.4,310.1,144.55,109.5,108.15,97.2,89.4,96.1,100.45,105.65,110.85,126.4,122.7,115.8,112.3,116.95,127.35,169.95,219.7,239.1,197.8,153.2,130.85,130.6,130.45,119.4,121.45,122.75,118.9,123.2,125.1,130.65,161.25,264.95,466.3,621.8,572.9,381.85,220.8,161.1,172.7,262.75,501.45,910.9,1240.2,1130.2,696.3,323.4,160.2,134.9,169.05,216.55,249.2,225.55,164.05,120.05,106.4
"41",115.35,76.45,51.35,56.95,87.85,103.75,89.95,68.35,68,94.5,132.3,146,158.7,255.45,817.25,2420.15,4235.85,4161.35,2396.75,899.35,302.45,145.55,111.1,107.75,99.85,98.9,99,98.9,106.4,111.1,116.4,117.4,115.95,111.05,109.65,130.6,169.9,220.95,237.35,199.7,155.05,135.7,131.4,133.35,129.3,130.3,123.9,126.5,128.95,128.25,142.65,200.8,391.9,743.55,1043.2,950.35,583.9,296.4,180.35,200.85,311.1,560,987.9,1287.45,1169.15,711.45,333.25,162.65,134.15,173.1,220.85,251.3,218.7,167.3,111.85,108.4
"42",116.5,78.25,50.45,59.35,92.45,110.45,91.15,66.1,61.95,87.95,114.9,139.7,143.7,247.1,833.55,2464.55,4350.8,4266,2401.55,929.55,304.15,142.65,112.5,105.1,100.2,99.55,96.1,96.55,102.15,110.1,117.45,115.9,110.35,107.95,112.4,127.9,172.35,224,246.25,191.55,152.45,133.4,131.8,128.4,125.85,121.5,122.4,123.05,127.05,128.95,135.05,178.05,315.2,577.45,801.05,737.35,470.15,248.45,165.1,183.3,290.1,527.75,955.15,1276,1167.7,729,327.65,158.45,133.55,170.85,220.6,250.4,223.45,162.15,121.3,104.2
"43",89.05,60.55,41.05,50.7,79.3,90.05,78.9,61.55,65.85,90.35,119.1,137.55,148.1,235.95,744.6,2184.95,3839.4,3723.2,2153.5,820.6,284.6,135.75,102.8,97.15,94.7,92.7,89.4,91.65,97.55,104.75,107,108.5,103.45,102.5,106.15,123.85,165.2,205.6,225.55,189,141.25,127.6,124.4,129.65,120.2,121.6,122.3,125.65,126.3,128.25,146.6,221.65,469,916.25,1297,1196.5,727.5,336.8,201.15,217.2,345.25,647.35,1113.8,1450.5,1303.25,791.3,361.1,168.95,137.3,174.15,231.55,266.2,239.55,165.85,117.95,105.6
